Id,Name,hed__Program_Plan__c,hed__Course__c
a0I8c00001XiOA5EAN,Recherche et méthodologie,,a0C8c00000XMMZMEA5
a0I8c00001XiOIFEA3,Rechercher la sainteté,,a0C8c00000YK1qnEAD
a0I8c00001XiOIJEA3,Réfléchir et se lancer,,a0C8c00000YK1qvEAD
a0I8c00001XiS26EAF,Résidence en counseling biblique,,a0C8c00000XMMmgEAH
a0I8c00001XiOJ5EAN,Résidence en counseling biblique,,a0C8c00000XMMmgEAH
a0I8c00001XiS7mEAF,Révélation,,a0C8c00000XMMd3EAH
a0I8c00001XiS7kEAF,Sagesse,,a0C8c00000XMMd9EAH
a0I8c00001XiS8oEAF,Sagesse,,a0C8c00000XMMd9EAH
a0I8c00001XiS7YEAV,Sainteté,,a0C8c00000XMMcyEAH
a0ION00000167B72AI,"Soins spirituels envers les malades, mourants et endeuillés",,a0C8c00000XMMmqEAH
a0I8c00001XiODTEA3,"Soins spirituels envers les malades, mourants et endeuillés",,a0C8c00000XMMmrEAH
a0I8c00001XiS6lEAF,Spiritualité biblique,,a0C8c00000XMMbsEAH
a0I8c00001XiS77EAF,Stage : coaching et multiplication de disciples,,a0C8c00000YKCMCEA5
a0I8c00001XiS7LEAV,Stage : ministères dans l'Église locale,,a0C8c00000YKCMMEA5
a0I8c00001XiS1UEAV,Stage d'intégration en counseling biblique,,a0C8c00000XMMmuEAH
a0I8c00001XiOJSEA3,Stage d'intégration en counseling biblique,,a0C8c00000XMMmuEAH
a0I8c00001XiOJNEA3,Stage d'observation en counseling biblique,,a0C8c00000XMMmyEAH
a0I8c00001XiS1mEAF,Stage d'observation en counseling biblique,,a0C8c00000XMMmyEAH
a0ION00000167Cj2AI,Stage pratique en aumônerie,,a0C8c00000XMMn2EAH
a0I8c00001XiODYEA3,Stage pratique en aumônerie,,a0C8c00000XMMn3EAH
a0I8c00001XiOA6EAN,Séminaire de recherche I,,a0C8c00000XMMalEAH
a0I8c00001XiOAAEA3,Séminaire de recherche II,,a0C8c00000XMMarEAH
a0I8c00001XiOABEA3,Séminaire de recherche III,,a0C8c00000XMMasEAH
a0I8c00001XiOA7EAN,Séminaire de recherche IV,,a0C8c00000XMMatEAH
a0I8c00001XiOAFEA3,Thèse I (proposition et revue de littérature),,a0C8c00000XMMdyEAH
a0I8c00001XiOAKEA3,Thèse II (écriture),,a0C8c00000XMMdzEAH
a0I8c00001XiOAPEA3,Thèse III (écriture),,a0C8c00000XMMe0EAH
a0I8c00001XiOAUEA3,"Thèse IV (finalisation, présentation et défense du projet)",,a0C8c00000XMMe1EAH
a0I8c00001XiRAwEAN,Théologie biblique de l'Ancien Testament,,a0C8c00000XMMZZEA5
a0I8c00001XiS1pEAF,Théologie biblique de l'Ancien Testament,,a0C8c00000XMMZZEA5
a0I8c00001XiS2REAV,Théologie biblique du Nouveau Testament,,a0C8c00000XMMcfEAH
a0I8c00001XiS6iEAF,Théologie de la révélation,,a0C8c00000YJhbbEAD
a0I8c00001XiS28EAF,Théologie de la révélation,,a0C8c00000YJhbbEAD
a0I8c00001XiRAXEA3,Théologie de la révélation,,a0C8c00000YJhbbEAD
a0I8c00001XiRB1EAN,Théologie de la trinité,,a0C8c00000YK8P2EAL
a0I8c00001XiS6jEAF,Théologie de la trinité,,a0C8c00000YK8P2EAL
a0I8c00001XiS2VEAV,Théologie de la trinité,,a0C8c00000YK8P2EAL
a0I8c00001XiS6sEAF,Théologie des Écritures,,a0C8c00000YK8PMEA1
a0I8c00001XiS6fEAF,Théologie pastorale,,a0C8c00000XMMnYEAX
a0I8c00001XiOD0EAN,Théorie et pratique de l'intervention en soins spirituels,,a0C8c00000XMMnfEAH
a0I8c00001XiS7cEAF,Vision,,a0C8c00000XMMcrEAH
a0I8c00001XiS7qEAF,Écritures,,a0C8c00000XMMcqEAH
a0I8c00001XiS8sEAF,Écritures,,a0C8c00000XMMcqEAH
a0I8c00001XiS89EAF,Église,,a0C8c00000XMMcuEAH
a0I8c00001XiRBCEA3,Éthique chrétienne,,a0C8c00000XMMbWEAX
a0I8c00001XiS2aEAF,Éthique chrétienne,,a0C8c00000XMMbWEAX
a0I8c00001XiOD4EAN,Éthique de l'aumônier,,a0C8c00000XMMjkEAH
a0I8c00001XiOIMEA3,Étudier la Bible,,a0C8c00000YK1qYEAT
a0I8c00001XiOHVEA3,Étudier la Bible,,a0C8c00000YK1qYEAT
a0I8c00001XiOIREA3,Être en communauté,,a0C8c00000YK1qaEAD
a0I8c00001XiOIKEA3,Être en communauté,,a0C8c00000YK1qaEAD
a0I8c00001XiOINEA3,Être préparé,,a0C8c00000YK1qXEAT
a0I8c00001XiOI9EAN,Être préparé,,a0C8c00000YK1qXEAT
a0I8c00001XiOIdEAN,Être relationnel,,a0C8c00000YK1qbEAD
