Id,Name,hed__Course_ID__c
a0C8c00000XMMj3EAH,Counseling biblique II,EP7551
a0C8c00000YJgiNEAT,Counseling biblique III,EP7552
a0C8c00000XMMYPEA5,Counseling biblique III,EP3552
a0C8c00000XMMj5EAH,Counseling biblique marital,EP6547
a0C8c00000XMMj4EAH,Counseling biblique marital,EP2547
a0C8c00000XMMj8EAH,Counseling de couple,EP3556
a0C8c00000XMMj6EAH,Counseling de couple,EP6549
a0C8c00000XMMj7EAH,Counseling de couple,EP9149
a0C8c00000YJgiJEAT,Counseling de groupe (techniques),EP2548
a0C8c00000XMMaNEAX,Counseling de groupe (techniques),EP6548
a0C8c00000XMMjAEAX,Counseling et physiologie,EP7556
a0C8c00000XMMj9EAH,Counseling et physiologie,EP3556
a0C8c00000XMMjCEAX,Counseling et physiologie I,EP6566
a0C8c00000XMMjBEAX,Counseling et physiologie I,EP3566
a0C8c00000XMMjDEAX,Counseling et physiologie II,EP3576
a0C8c00000XMMjEEAX,Counseling et physiologie II,EP6576
a0C8c00000XMMYJEA5,Counseling et Théologie,EP4532
a0C8c00000YJgiPEAT,Counseling et Théologie 2e cyc,EP8532
a0C8c00000XMMjFEAX,"Counseling, mariage et famille",EP2546
a0C8c00000XMMjGEAX,"Counseling, mariage et famille",EP6536
a0C8c00000XMMdFEAX,Couronnement,IMS800
a0C8c00000XMMjIEAX,Cours au choix BI,BI0001
a0C8c00000XMMjHEAX,Cours au choix BI,BI0000
a0C8c00000XMMjJEAX,Cours au choix EP,EP0000
a0C8c00000XMMjKEAX,Cours au choix EP,EP0001
a0C8c00000XMMbYEAX,Cours de Français,FRA
a0C8c00000XMMdCEAX,Création,IMS707
a0C8c00000XMMYbEAP,Création - Évolution,HP4425
a0C8c00000XMMY6EAP,Créativité,EP4516
a0C8c00000XMMd6EAH,Culture,IMS701
a0C8c00000XMMXeEAP,Cure d'âme biblique,EP2528
a0C8c00000YJgiMEAT,Cure d'âme biblique,EP7528
a0C8c00000XMMjLEAX,Cure d'âme pastorale,EP1100
a0C8c00000XMMjMEAX,Cure d'âme pastorale,EP6542
a0C8c00000XMMb7EAH,Daniel,AT9228
a0C8c00000XMMjOEAX,Daniel,AT7128
a0C8c00000XMMjNEAX,Daniel,AT3128
a0C8c00000XMMXNEA5,Debout jeunesse,EP1545
a0C8c00000XMMjQEAX,Deutéronome,AT7124
a0C8c00000XMMjPEAX,Deutéronome,AT3124
a0C8c00000XMMZNEA5,Dev. mouv. pent.char. vineyard,TS1100
a0C8c00000XMMcvEAH,Dieu,IMS507
a0C8c00000YK1qiEAD,Diriger une équipe,CBE209
a0C8c00000XMMd1EAH,Discipulat,IMS605
a0C8c00000XMMXUEA5,Disposition coeur conducteur,EP2230
a0C8c00000XMMbUEAX,Dispositions de cœur du responsable,EP2350
a0C8c00000XMMjREAX,Doctrine de Dieu,TS3304
a0C8c00000XMMjSEAX,Doctrine de Dieu,TS7304
a0C8c00000XMMZYEA5,Doctrine des esprits,TS4310
a0C8c00000XMMZPEA5,Doctrines Essentielles,TS1301-02
a0C8c00000XMMZOEA5,Doctrines essentielles I,TS1101
a0C8c00000XMMaJEAX,Doctrines Essentielles I,TS5101
a0C8c00000XMMZQEA5,Doctrines essentielles II,TS1102
a0C8c00000XMMaOEAX,Doctrines Essentielles II,TS5102
a0C8c00000XMMaPEAX,Doctrines Essentielles III,TS5103
a0C8c00000XMMZSEA5,Doctrines essentielles III,TS1103
a0C8c00000XMMaQEAX,Doctrines Essentielles IV,TS5104
a0C8c00000YJgihEAD,Doctrines essentielles IV,TS5304
a0C8c00000XMMZTEA5,Doctrines essentielles IV,TS1104
a0C8c00000XMMcVEAX,Doctrines Essentielles IV-A,TS2304-A
a0C8c00000XMMjUEAX,Du simple verset au livre tout entier,BI9605
a0C8c00000XMMjTEAX,Du simple verset au livre tout entier,BI6105
a0C8c00000XMMaeEAH,Du simple verset au livre tout entier,BI2105
a0C8c00000XMMXaEAP,Dynamique de groupe,EP2504
a0C8c00000XMMjVEAX,Dynamiques du changement biblique,EP3549
a0C8c00000XMMjWEAX,Dynamiques du changement biblique,EP9549
a0C8c00000YK1qSEAT,Découvrir la révélation,CBE201
a0C8c00000XMMZiEAP,Dév.pent.mouv. ch. vineyard,TS8313
a0C8c00000XMMduEAH,Développement d'études bibliques,BI9515
a0C8c00000XMMjYEAX,Ecclésiologie,TS7309
a0C8c00000XMMjXEAX,Ecclésiologie,TS3309
a0C8c00000XMMcKEAX,Ecclésiologie et pneumatologie,TS4306
a0C8c00000XMMXkEAP,Enjeux cure d'âme 1 cycle,EP2544
a0C8c00000XMMYLEA5,Enjeux cure d'âme pastorale,EP6545
a0C8c00000XMMcEEAX,Enraciné dans l'Évangile,EP2512
a0C8c00000YT1xYEAT,Enseigner la théologie pastorale IV,EP9600-25
a0C8c00000XMMYxEAP,Epître aux Galates,NT2211
a0C8c00000XMMZAEA5,Epîtres de prison,NT3213
a0C8c00000XMMX8EAP,Esaïe,AT7127
a0C8c00000XMMjfEAH,Eschatologie,TS2306
a0C8c00000XMMjgEAH,Eschatologie,TS6306
a0C8c00000YK8OsEAL,Eschatologie : l'espérance chrétienne pour aujourd'hui,TS4315
a0C8c00000YK8OxEAL,Eschatologie : l'espérance chrétienne pour aujourd'hui,TS8315
